psi,theta,phi,x,y,z
-3.015928947,-0.556166619,0,0.523771531,0.066167732,0.84928512
-3.015928947,-0.539289286,0,0.509476968,0.064361909,0.858073869
-3.015928947,-0.522411952,0,0.495037287,0.062537753,0.866618206
-3.015928947,-0.505534618,0,0.4804566,0.060695784,0.874915697
-3.015928947,-0.488657284,0,0.465739061,0.058836526,0.88296398
-3.015928947,-0.47177995,0,0.450888863,0.05696051,0.890760761
-3.015928947,-0.454902616,0,0.435910234,0.055068269,0.89830382
-3.015928947,-0.438025282,0,0.420807441,0.053160343,0.905591009
-3.015928947,-0.421147949,0,0.405584787,0.051237274,0.912620251
-3.015928947,-0.404270615,0,0.390246607,0.049299611,0.919389544
-3.015928947,-0.387393281,0,0.37479727,0.047347906,0.925896961
-3.015928947,-0.370515947,0,0.359241177,0.045382715,0.932140647
-3.015928947,-0.353638613,0,0.343582758,0.043404596,0.938118825
-3.015928947,-0.336761279,0,0.327826474,0.041414115,0.943829791
-3.015928947,-0.319883945,0,0.311976813,0.039411837,0.949271919
-3.015928947,-0.303006611,0,0.296038289,0.037398333,0.954443658
-3.015928947,-0.286129278,0,0.280015442,0.035374177,0.959343536
-3.015928947,-0.269251944,0,0.263912836,0.033339945,0.963970157
-3.015928947,-0.25237461,0,0.247735058,0.031296216,0.968322203
-3.015928947,-0.235497276,0,0.231486715,0.029243573,0.972398434
-3.015928947,-0.218619942,0,0.215172436,0.0271826,0.976197689
-3.015928947,-0.201742608,0,0.198796869,0.025113885,0.979718887
-3.015928947,-0.184865274,0,0.182364676,0.023038016,0.982961024
-3.015928947,-0.167987941,0,0.165880539,0.020955585,0.985923177
-3.015928947,-0.151110607,0,0.149349153,0.018867186,0.988604501
-3.015928947,-0.134233273,0,0.132775227,0.016773412,0.991004234
-3.015928947,-0.117355939,0,0.116163481,0.01467486,0.993121691
-3.015928947,-0.100478605,0,0.099518648,0.012572129,0.994956271
-3.015928947,-0.083601271,0,0.082845468,0.010465816,0.996507449
-3.015928947,-0.066723937,0,0.06614869,0.008356523,0.997774784
-3.015928947,-0.049846603,0,0.049433071,0.006244849,0.998757915
-3.015928947,-0.03296927,0,0.032703372,0.004131397,0.999456563
-3.015928947,-0.016091936,0,0.015964357,0.002016767,0.999870528
-3.015928947,0.000785398,0,-0.000779205,-9.84E-05,0.999999692
-3.015928947,0.017662732,0,-0.017522545,-0.002213612,0.999844018
-3.015928947,0.034540066,0,-0.034260894,-0.004328157,0.999403551
-3.015928947,0.0514174,0,-0.050989484,-0.00644147,0.998678417
-3.015928947,0.068294734,0,-0.06770355,-0.008552947,0.997668821
-3.015928947,0.085172067,0,-0.084398332,-0.010661989,0.996375052
-3.015928947,0.102049401,0,-0.101069074,-0.012767993,0.994797477
-3.015928947,0.118926735,0,-0.117711028,-0.014870361,0.992936547
-3.015928947,0.135804069,0,-0.134319453,-0.016968493,0.990792791
-3.015928947,0.152681403,0,-0.150889619,-0.019061792,0.98836682
-3.015928947,0.169558737,0,-0.167416806,-0.021149661,0.985659325
-3.015928947,0.186436071,0,-0.183896307,-0.023231506,0.982671077
-3.015928947,0.203313405,0,-0.200323427,-0.025306734,0.979402927
-3.015928947,0.220190738,0,-0.216693487,-0.027374753,0.975855807
-3.015928947,0.237068072,0,-0.233001824,-0.029434976,0.972030726
-3.015928947,0.253945406,0,-0.249243794,-0.031486814,0.967928774
-3.015928947,0.27082274,0,-0.26541477,-0.033529683,0.96355112
-3.015928947,0.287700074,0,-0.281510146,-0.035563002,0.95889901
-3.015928947,0.304577408,0,-0.297525337,-0.037586191,0.953973769
-3.015928947,0.321454742,0,-0.313455782,-0.039598674,0.948776801
-3.015928947,0.338332075,0,-0.329296943,-0.041599878,0.943309585
-3.015928947,0.355209409,0,-0.345044307,-0.043589233,0.93757368
-3.015928947,0.372086743,0,-0.36069339,-0.045566172,0.931570718
-3.015928947,0.388964077,0,-0.376239734,-0.047530132,0.925302409
-3.015928947,0.405841411,0,-0.391678911,-0.049480553,0.91877054
-3.015928947,0.422718745,0,-0.407006523,-0.051416881,0.91197697
-3.015928947,0.439596079,0,-0.422218204,-0.053338563,0.904923635
-3.015928947,0.456473413,0,-0.437309621,-0.055245053,0.897612544
-3.015928947,0.473350746,0,-0.452276476,-0.057135806,0.890045779
-3.015928947,0.49022808,0,-0.467114506,-0.059010285,0.882225495
-3.015928947,0.507105414,0,-0.481819484,-0.060867956,0.87415392
-3.015928947,0.523982748,0,-0.496387222,-0.062708289,0.865833354
-3.015928947,0.540860082,0,-0.51081357,-0.064530761,0.857266165
-3.015928947,0.557737416,0,-0.525094419,-0.066334852,0.848454795
-3.015928947,0.57461475,0,-0.539225701,-0.068120048,0.839401753
-3.015928947,0.591492084,0,-0.553203392,-0.069885841,0.830109617
-3.015928947,0.608369417,0,-0.567023509,-0.071631727,0.820581036
-3.015928947,0.625246751,0,-0.580682117,-0.073357211,0.810818721
-3.015928947,0.642124085,0,-0.594175324,-0.075061799,0.800825455
-3.015928947,0.659001419,0,-0.607499289,-0.076745008,0.790604084
-3.015928947,0.675878753,0,-0.620650214,-0.078406356,0.780157519
-3.015928947,0.692756087,0,-0.633624355,-0.080045371,0.769488736
-3.015928947,0.709633421,0,-0.646418016,-0.081661586,0.758600774
-3.015928947,0.726510754,0,-0.659027553,-0.083254541,0.747496733
-3.015928947,0.743388088,0,-0.671449373,-0.084823782,0.736179778
-3.015928947,0.760265422,0,-0.68367994,-0.086368862,0.72465313
-3.015928947,0.777142756,0,-0.695715769,-0.087889341,0.712920074
